�(Nm),532,655,532,655,532,655,532,655,532,655
Distance(Cm),10,10,50,50,100,100,200,200,500,500
Time(s),Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux
3,17602.20117,26281.61133,20843.96875,23595.00977,311943.75,27600.12891,192067.7656,17289.92188,57009,8344.139648
3.05,17602.20117,26326.22266,20893.53711,25141.54102,311943.75,27600.12891,194238.8594,17304.79102,65262.125,8300.980469
3.1,17572.46094,26306.39648,20938.14844,26539.36719,311943.75,27600.12891,178545.5313,17299.83398,70957.52344,8298.59375
3.15,17572.46094,26261.7832,20982.75977,27049.91992,311943.75,27605.08594,173023.625,17532.80469,76945.375,8353.685547
3.2,17582.37305,26261.7832,21062.06836,27094.53125,311943.75,27600.12891,192563.4531,17235.39648,81951.77344,8370.591797
3.25,17458.45313,26291.52539,21007.54297,26881.38867,311943.75,27605.08594,201153.6406,17250.26563,90566.74219,8390.082031
3.3,17453.49609,26346.05078,21022.41406,26623.63281,311938.8125,27605.08594,202987.6719,17369.23047,75988.70313,8340.162109
3.35,17428.71289,26390.66211,21091.81055,26539.36719,311938.8125,27605.08594,195027,17314.70508,81208.25,8346.923828
3.4,17413.8418,26425.35938,21091.81055,26479.88477,311938.8125,27600.12891,182838.1563,17453.49609,72320.64844,8354.282227
3.45,17433.66992,26420.40234,21111.63672,27272.97852,311938.8125,27595.17188,191899.2344,17185.82813,73183.14063,8155.594238
3.5,17488.19336,26430.31641,21091.81055,28011.54492,311938.8125,27600.12891,188974.7031,17255.22266,61544.5,7924.686035
3.55,17612.11523,26445.1875,21101.72266,28016.50195,311943.75,27600.12891,185212.4688,16937.98633,73014.60938,7862.434082
3.6,17597.24414,26564.15039,21111.63672,27426.63867,311943.75,27600.12891,167952.7969,17051.99219,63661.06641,7920.310547
3.65,17547.67578,26742.59766,21081.89648,27268.02148,311943.75,27590.21484,145091.875,16982.59766,60320.16406,7991.512207
